ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
USDD,medium_airport,Salekhard Airport,66.5907974243164,66.61100006103516,218,RU,Salekhard,USDD,SLY
USDK,small_airport,Mys Kamenny Airport,68.467676,73.596733,3,RU,Mys Kamennyi,USDK,YMK
USDO,small_airport,Tolka Airport,63.987808,82.050889,92,RU,Tolka,USDO,
USDP,small_airport,Krasnoselkup Airport,65.717,82.455,101,RU,Krasnoselkup,USDP,KKQ
USDS,small_airport,Tarko-Sale Airport,64.930485,77.811295,82,RU,Tarko-Sale,USDS,TQL
USDU,small_airport,Urengoy Airport,65.9599990845,78.43699646,56,RU,Urengoy,USDU,UEN
USHH,medium_airport,Khanty Mansiysk Airport,61.0285,69.086098,76,RU,Khanty-Mansiysk,USHH,HMA
USHI,small_airport,Igrim Airport,63.200391,64.440136,79,RU,,USHI,IRM
USHK,small_airport,Kondinskoye Airport,59.655083,67.430046,131,RU,Kondinskoye,USHK,KXD
USHL,small_airport,Lugovoy Airport,59.725122,65.833281,,RU,Lugovoy,USHL,
USHN,medium_airport,Nyagan Airport,62.110001,65.614998,361,RU,Nyagan,USHN,NYA
USHQ,medium_airport,Beloyarskiy Airport,63.686901,66.698601,82,RU,,USHQ,EYK
USHS,medium_airport,Sovetskiy Airport,61.326622009277344,63.60191345214844,351,RU,Sovetskiy,USHS,OVS
USHU,medium_airport,Uray Airport,60.103298,64.826698,190,RU,Uray,USHU,URJ
USII,medium_airport,Izhevsk Airport,56.834524,53.462172,531,RU,Izhevsk,USII,IJK
USKK,medium_airport,Pobedilovo Airport,58.503883,49.347831,479,RU,Kirov,USKK,KVX
USMM,medium_airport,Nadym Airport,65.48090362548828,72.69889831542969,49,RU,Nadym,USMM,NYM
USMU,medium_airport,Novy Urengoy Airport,66.06939697265625,76.52030181884766,210,RU,Novy Urengoy,USMU,NUX
USNN,large_airport,Nizhnevartovsk Airport,60.949299,76.483597,177,RU,Nizhnevartovsk,USNN,NJC
USPP,large_airport,Perm International Airport,57.914501,56.021198,404,RU,Perm,USPP,PEE
USRK,medium_airport,Kogalym International Airport,62.190399169921875,74.53379821777344,220,RU,Kogalym,USRK,KGP
USRN,medium_airport,Nefteyugansk Airport,61.108299,72.650002,115,RU,Nefteyugansk,USRN,NFG
USRO,medium_airport,Noyabrsk Airport,63.18330001831055,75.2699966430664,446,RU,Noyabrsk,USRO,NOJ
USRR,large_airport,Surgut International Airport,61.340501,73.405782,200,RU,Surgut,USRR,SGC
USSS,large_airport,Koltsovo Airport,56.743099212646,60.802700042725,764,RU,Yekaterinburg,USSS,SVX
